state,year,month,outage_count,max_outage_duration,customer_weighted_hours
Alabama,2015,0,338,25.0,424475.0
Alabama,2015,1,15,3.0,15911.75
Alabama,2015,2,12,6.25,10030.0
Alabama,2015,3,19,25.0,37367.5
Alabama,2015,4,13,5.0,11394.75
Alabama,2015,5,37,6.5,39230.0
Alabama,2015,6,46,4.0,21364.0
Alabama,2015,7,41,6.25,32558.25
Alabama,2015,8,22,6.0,11754.75
Alabama,2015,9,36,6.25,108274.75
Alabama,2015,10,14,4.75,11046.5
Alabama,2015,11,25,9.75,44009.5
Alabama,2015,12,58,7.25,81533.25
Alaska,2015,0,30,34.0,96155.0
Alaska,2015,1,0,0.0,0.0
Alaska,2015,2,0,0.0,0.0
Alaska,2015,3,0,0.0,0.0
Alaska,2015,4,0,0.0,0.0
Alaska,2015,5,0,0.0,0.0
Alaska,2015,6,0,0.0,0.0
Alaska,2015,7,4,15.0,12833.5
Alaska,2015,8,6,2.5,12890.0
Alaska,2015,9,3,2.75,2260.25
Alaska,2015,10,2,4.25,3973.5
Alaska,2015,11,10,34.0,40535.0
Alaska,2015,12,5,13.75,23662.75
Arizona,2015,0,334,24.0,947067.25
Arizona,2015,1,2,7.25,12927.5
Arizona,2015,2,1,0.25,104.0
Arizona,2015,3,2,4.25,5350.5
Arizona,2015,4,1,1.5,1772.25
Arizona,2015,5,2,1.75,7368.0
Arizona,2015,6,2,2.0,2285.0
Arizona,2015,7,4,1.5,2186.5
Arizona,2015,8,90,21.75,234469.25
Arizona,2015,9,62,24.0,297691.75
Arizona,2015,10,74,11.75,218645.5
Arizona,2015,11,44,7.75,81195.25
Arizona,2015,12,50,5.0,83071.75
Arkansas,2015,0,2164,43.5,4804644.0
Arkansas,2015,1,98,10.25,157820.75
Arkansas,2015,2,141,34.0,734746.0
Arkansas,2015,3,113,20.0,198131.25
Arkansas,2015,4,163,15.5,334279.5
Arkansas,2015,5,328,43.5,1257431.75
Arkansas,2015,6,252,22.0,407028.5
Arkansas,2015,7,235,26.25,380286.5
Arkansas,2015,8,179,21.0,283769.0
Arkansas,2015,9,110,8.5,140474.5
Arkansas,2015,10,159,9.75,158932.0
Arkansas,2015,11,190,33.25,461975.25
Arkansas,2015,12,196,16.0,289769.0
California,2015,0,6103,223.5,35584382.0
California,2015,1,417,75.75,2659373.5
California,2015,2,394,120.0,2437466.25
California,2015,3,510,57.25,2448658.75
California,2015,4,583,53.5,2113243.25
California,2015,5,674,53.0,2228536.0
California,2015,6,857,67.5,3005435.75
California,2015,7,611,80.5,3639863.75
California,2015,8,412,174.0,2918958.0
California,2015,9,431,158.0,4037636.75
California,2015,10,402,223.5,3834203.25
California,2015,11,396,211.75,4094659.75
California,2015,12,416,58.0,2166347.0
Colorado,2015,0,1523,77.75,2443098.25
Colorado,2015,1,19,4.75,15336.0
Colorado,2015,2,4,2.25,2103.5
Colorado,2015,3,17,3.5,18478.25
Colorado,2015,4,22,15.25,53664.0
Colorado,2015,5,157,18.75,293336.75
Colorado,2015,6,291,15.75,653539.75
Colorado,2015,7,241,44.25,206531.0
Colorado,2015,8,197,11.0,290002.0
Colorado,2015,9,174,9.75,201234.0
Colorado,2015,10,175,77.75,275760.5
Colorado,2015,11,142,32.75,331357.25
Colorado,2015,12,84,17.75,101755.25
Connecticut,2015,0,1277,22.75,2974705.75
Connecticut,2015,1,68,5.5,62250.75
Connecticut,2015,2,56,6.25,71432.0
Connecticut,2015,3,105,14.5,154591.25
Connecticut,2015,4,97,22.25,200144.75
Connecticut,2015,5,12,2.0,9021.0
Connecticut,2015,6,193,22.75,1565871.5
Connecticut,2015,7,208,12.75,305197.5
Connecticut,2015,8,184,11.25,297743.5
