state,year,month,outage_count,max_outage_duration,customer_weighted_hours
Alabama,2014,0,33,26.5,51208.25
Alabama,2014,1,0,0.0,0.0
Alabama,2014,2,0,0.0,0.0
Alabama,2014,3,0,0.0,0.0
Alabama,2014,4,0,0.0,0.0
Alabama,2014,5,0,0.0,0.0
Alabama,2014,6,0,0.0,0.0
Alabama,2014,7,0,0.0,0.0
Alabama,2014,8,0,0.0,0.0
Alabama,2014,9,0,0.0,0.0
Alabama,2014,10,0,0.0,0.0
Alabama,2014,11,18,26.5,42203.75
Alabama,2014,12,15,2.5,9004.5
Arkansas,2014,0,153,8.5,245037.75
Arkansas,2014,1,0,0.0,0.0
Arkansas,2014,2,0,0.0,0.0
Arkansas,2014,3,0,0.0,0.0
Arkansas,2014,4,0,0.0,0.0
Arkansas,2014,5,0,0.0,0.0
Arkansas,2014,6,0,0.0,0.0
Arkansas,2014,7,0,0.0,0.0
Arkansas,2014,8,0,0.0,0.0
Arkansas,2014,9,0,0.0,0.0
Arkansas,2014,10,0,0.0,0.0
Arkansas,2014,11,79,8.5,103117.25
Arkansas,2014,12,74,7.0,141920.5
California,2014,0,845,139.5,6107708.0
California,2014,1,0,0.0,0.0
California,2014,2,0,0.0,0.0
California,2014,3,0,0.0,0.0
California,2014,4,0,0.0,0.0
California,2014,5,0,0.0,0.0
California,2014,6,0,0.0,0.0
California,2014,7,0,0.0,0.0
California,2014,8,0,0.0,0.0
California,2014,9,0,0.0,0.0
California,2014,10,0,0.0,0.0
California,2014,11,415,59.25,2607854.25
California,2014,12,430,139.5,3499853.75
Colorado,2014,0,170,8.25,272750.0
Colorado,2014,1,0,0.0,0.0
Colorado,2014,2,0,0.0,0.0
Colorado,2014,3,0,0.0,0.0
Colorado,2014,4,0,0.0,0.0
Colorado,2014,5,0,0.0,0.0
Colorado,2014,6,0,0.0,0.0
Colorado,2014,7,0,0.0,0.0
Colorado,2014,8,0,0.0,0.0
Colorado,2014,9,0,0.0,0.0
Colorado,2014,10,0,0.0,0.0
Colorado,2014,11,136,8.25,243791.25
Colorado,2014,12,34,4.0,28958.75
Connecticut,2014,0,186,31.5,297185.0
Connecticut,2014,1,0,0.0,0.0
Connecticut,2014,2,0,0.0,0.0
Connecticut,2014,3,0,0.0,0.0
Connecticut,2014,4,0,0.0,0.0
Connecticut,2014,5,0,0.0,0.0
Connecticut,2014,6,0,0.0,0.0
Connecticut,2014,7,0,0.0,0.0
Connecticut,2014,8,0,0.0,0.0
Connecticut,2014,9,0,0.0,0.0
Connecticut,2014,10,0,0.0,0.0
Connecticut,2014,11,108,31.5,222859.0
Connecticut,2014,12,78,6.25,74326.0
Delaware,2014,0,55,11.75,84283.75
Delaware,2014,1,0,0.0,0.0
Delaware,2014,2,0,0.0,0.0
Delaware,2014,3,0,0.0,0.0
Delaware,2014,4,0,0.0,0.0
Delaware,2014,5,0,0.0,0.0
Delaware,2014,6,0,0.0,0.0
Delaware,2014,7,0,0.0,0.0
Delaware,2014,8,0,0.0,0.0
Delaware,2014,9,0,0.0,0.0
Delaware,2014,10,0,0.0,0.0
Delaware,2014,11,31,11.75,35632.25
Delaware,2014,12,24,2.75,48651.5
District of Columbia,2014,0,33,8.0,25290.75
District of Columbia,2014,1,0,0.0,0.0
District of Columbia,2014,2,0,0.0,0.0
District of Columbia,2014,3,0,0.0,0.0
District of Columbia,2014,4,0,0.0,0.0
District of Columbia,2014,5,0,0.0,0.0
District of Columbia,2014,6,0,0.0,0.0
District of Columbia,2014,7,0,0.0,0.0
District of Columbia,2014,8,0,0.0,0.0
